"","i","j","空港i","空港j","航空会社","旅客数","所要時間","費用","航空便数","滞在可能時間","アクセシビリティ","エアライン参入数","鉄道ダミー","一便あたり座席数","一便あたり貨物","OD","DIS","Seat","Freq","MC","LF","observedprob"
"105",25,18,"神戸","東京","SKY",276054,70,11400,6,695,44.948443,3,0,177,0,25166092,695,177,1897,3822.5,82.2,0.0109692835899988
"106",25,18,"新大阪","東京","JR",21164000,150,14450,1,780,12.048303,0,1,0,0,25166092,NA,NA,NA,NA,NA,0.840972845525638
"107",25,37,"大阪","福岡","JAL",86430,70,21900,2,630,15.717997,3,0,144.375,881.760044642857,3054094,578,144.375,896,6358,69.2,0.0282997183452769
"108",25,37,"大阪","福岡","ANA",286928,70,21900,7,615,15.717997,3,0,156.136557059961,1473.40618955513,3054094,578,156.136557059961,2585,6358,71.1,0.0939486472911443
"109",25,37,"大阪","福岡","JAC",37593,70,21900,2,30,15.717997,3,0,74,62.5281690140845,3054094,578,74,710,6358,71.6,0.0123090513913455
"110",25,37,"関西","福岡","JAL",43976,70,21900,3,515,38.964426,2,0,62.2207207207207,121.347747747748,3054094,553,62.2207207207207,1110,6083,72,0.0143990329046847
"111",25,37,"関西","福岡","ANA",62171,70,21900,4,410,38.964426,2,0,78.4483798040693,23.9005275056518,3054094,553,78.4483798040693,1327,6083,59.7,0.0203566098489437
"112",25,37,"大阪","佐賀","ANA",20996,80,21900,2,275,64.841863,1,0,74,3.17198335644938,3054094,660,74,721,7260,39.4,0.00687470654144895
"113",25,37,"新大阪","博多","JR",2516000,150,15310,1,780,7.008287,0,1,0,0,3054094,NA,NA,NA,NA,NA,0.823812233677156
"114",25,46,"大阪","那覇","JAL",140677,130,34200,1,415,16.142931,2,0,462.306074766355,9072.21728971963,993179,1304,462.306074766355,428,14344,71.1,0.141643147911907
"115",25,46,"大阪","那覇","ANA",156335,130,34200,1,0,16.142931,2,0,478.284037558685,8777.50234741784,993179,1304,478.284037558685,426,14344,76.7,0.157408684637915
"116",25,46,"関西","那覇","JAL",217810,130,34200,4,615,39.38936,2,0,224.600814663951,2764.37746096402,993179,1261,224.600814663951,1473,13871,65.8,0.219305885444618
"117",25,46,"関西","那覇","ANA",227843,130,34200,4,495,39.38936,2,0,243.927156549521,5183.34057507987,993179,1261,243.927156549521,1565,13871,59.7,0.229407790539268
"118",25,46,"神戸","那覇","ANA",157229,125,34200,3,520,30.259194,2,0,243.435546875,1714.3828125,993179,1308,243.435546875,1024,14388,63.1,0.158308824491859
"119",25,46,"神戸","那覇","JTA",93285,125,34200,2,300,30.259194,2,0,204.304172274563,3142.57604306864,993179,1308,204.304172274563,743,14388,61.5,0.0939256669744326
"120",37,8,"福岡","新千歳","JAL",120647,145,51100,2,405,43.668941,2,0,230.76817558299,3332.93141289438,233962,1614,230.76817558299,729,17754,71.7,0.515669211239432
"121",37,8,"福岡","新千歳","ANA",104315,145,51100,1,60,43.668941,2,0,401.927419354839,4785.97043010753,233962,1614,401.927419354839,372,17754,69.8,0.445863003393713
"122",37,8,"博多","札幌","JR",9000,614,43950,1,0,2.412527,0,1,0,0,233962,NA,NA,NA,NA,NA,0.0384677853668544
"123",37,12,"福岡","仙台","JAL",82099,105,43500,3,325,17.895864,2,0,146.116156282999,594.189017951426,113236,1256,146.116156282999,947,13816,59.3,0.725025610229962
"124",37,12,"福岡","仙台","ANA",31137,105,43500,2,335,17.895864,2,0,125.416494845361,281.259793814433,113236,1256,125.416494845361,485,13816,51.2,0.274974389770038
"125",37,18,"福岡","東京","JAL",1546302,100,36700,19,680,20.323949,3,0,386.968422605873,6056.001770695,5649674,1041,386.968422605873,6777,11451,59,0.273697562018623
"126",37,18,"福岡","東京","ANA",1639873,100,36700,18,690,20.323949,3,0,415.274372172828,5046.00545936671,5649674,1041,415.274372172828,6411,11451,61.6,0.290259756580645
"127",37,18,"福岡","東京","SKY",601398,100,21700,10,685,20.323949,3,0,198.681918412348,0,5649674,1041,198.681918412348,3628,5725.5,83.4,0.106448265864544
"128",37,18,"福岡","成田","JAL",73111,120,36700,2,660,66.145079,2,0,147.213924050633,13.0189873417722,5649674,1107,147.213924050633,790,12177,62.9,0.0129407466696309
"129",37,18,"福岡","成田","ANA",52552,120,36700,2,540,66.145079,2,0,122.790410958904,12.4054794520548,5649674,1107,122.790410958904,730,12177,58.6,0.009301775642276
"130",37,18,"北九州","東京","JAL",123165,100,36700,4,625,80.733392,2,0,164.141678129298,383.036451169188,5649674,958,164.141678129298,1454,10538,51.6,0.0218003729064721
"131",37,18,"北九州","東京","SFJ",372587,100,29600,11,980,80.733392,2,0,144,683.425999470479,5649674,958,144,3777,8622,68.5,0.0659484069346302
"132",37,18,"佐賀","東京","ANA",128686,110,36700,4,600,69.447815,1,0,164.929155313351,591.051771117166,5649674,1130,164.929155313351,1468,12430,53.2,0.0227775974330554
"133",37,18,"博多","東京","JR",1112000,300,22950,1,480,8.70507,0,1,0,0,5649674,NA,NA,NA,NA,NA,0.196825515950124
"134",37,25,"福岡","大阪","JAL",79190,70,21900,2,725,15.717997,3,0,144.727982162765,653.397993311037,3058865,578,144.727982162765,897,6358,71.05,0.0258886874706795
"135",37,25,"福岡","大阪","ANA",286273,70,21900,7,675,15.717997,3,0,156.281673769857,1314.69817900039,3058865,578,156.281673769857,2581,6358,71,0.0935879811629477
"136",37,25,"福岡","大阪","JAC",38401,70,21900,2,495,15.717997,3,0,74,103.273115220484,3058865,578,74,703,6358,73.8,0.0125540028736149
"137",37,25,"福岡","関西","JAL",46002,70,21900,3,725,38.964426,2,0,62.2648648648649,10.6945945945946,3058865,553,62.2648648648649,1110,6083,74.9,0.0150389114916807
"138",37,25,"福岡","関西","ANA",68597,70,21900,4,640,38.964426,2,0,78.5941265060241,3.40888554216867,3058865,553,78.5941265060241,1328,6083,65.7,0.0224256382677889
"139",37,25,"佐賀","大阪","ANA",23402,80,21900,2,60,64.841863,1,0,74,35.8145048814505,3058865,660,74,717,7260,44.1,0.0076505501223493
"140",37,25,"博多","新大阪","JR",2517000,150,15310,1,780,7.008287,0,1,0,0,3058865,NA,NA,NA,NA,NA,0.822854228610939
"141",37,46,"福岡","那覇","JAL",199883,100,27500,5,575,5.6347,4,0,192.205128205128,3303.68357883252,655254,1008,192.205128205128,1833,11088,56.7,0.305046592619045
"142",37,46,"福岡","那覇","ANA",373204,100,27500,8,540,5.6347,4,0,209.456828345373,3345.96388028896,655254,1008,209.456828345373,2907,11088,61.3,0.569556233155387
"143",37,46,"福岡","那覇","JTA",35297,100,27500,1,0,5.6347,4,0,145.506849315069,1113.48767123288,655254,1008,145.506849315069,365,11088,66.5,0.0538676604797529
"144",37,46,"福岡","那覇","SKY",46870,100,19800,2,70,5.6347,4,0,177,0,655254,1008,177,594,5544,44.6,0.0715295137458146
"145",46,18,"那覇","東京","JAL",1285780,160,40800,11,550,20.748883,4,0,478.944839015152,6419.83972537879,2566015,1687,478.944839015152,4224,18557,63.6,0.501080469132098
"146",46,18,"那覇","東京","ANA",1075612,160,40800,9,575,20.748883,4,0,457.463219026549,6569.33296460177,2566015,1687,457.463219026549,3616,18557,65,0.419176037552392
"147",46,18,"那覇","東京","JTA",32881,160,40800,1,0,20.748883,4,0,149.688715953307,163.007782101167,2566015,1687,149.688715953307,257,18557,85.5,0.0128140326537452
