OD,i,j,空港i,空港j,rk,k,航空会社,所要時間,費用,費用（多客期）,航空便数,滞在可能時間,アクセシビリティ指標,エアライン参入社数,DISk,cpma,Seatk,LFk
93,18,37,羽田,福岡,羽田福岡,,SKY,110,21700,21700,10,760,,3,,,,
94,37,18,福岡,羽田,福岡羽田,,JAL,110,36700,38900,21,680,,3,,,,
94,37,18,福岡,羽田,福岡羽田,,ANA,110,36700,38900,20,690,,3,,,,
94,37,18,福岡,羽田,福岡羽田,,SKY,110,21700,21700,10,685,,3,,,,
95,18,25,羽田,関西国際,羽田関西国際,,JAL,73.33333333,24600,24600,23,870,,3,,,,
95,18,25,羽田,関西国際,羽田関西国際,,ANA,73.33333333,24600,24600,20,760,,3,,,,
95,18,25,羽田,関西国際,羽田関西国際,,SFJ,73.33333333,20700,22700,4,490,,3,,,,
96,25,18,関西国際,羽田,関西国際羽田,,JAL,73.33333333,24600,24600,23,755,,3,,,,
96,25,18,関西国際,羽田,関西国際羽田,,ANA,73.33333333,24600,24600,20,780,,3,,,,
96,25,18,関西国際,羽田,関西国際羽田,,SFJ,73.33333333,20700,22700,4,755,,3,,,,
97,18,31,羽田,広島,羽田広島,,JAL,87.5,30800,33000,7,670,,3,,,,
97,18,31,羽田,広島,羽田広島,,ANA,87.5,30800,33000,8,735,,3,,,,
97,18,31,羽田,広島,羽田広島,,IBX,87.5,30800,33000,1,0,,3,,,,
98,31,18,広島,羽田,広島羽田,,JAL,87.5,30800,33000,7,635,,3,,,,
98,31,18,広島,羽田,広島羽田,,ANA,87.5,30800,33000,8,640,,3,,,,
98,31,18,広島,羽田,広島羽田,,IBX,87.5,30800,33000,1,480,,1,,,,
99,101,107,成田,中部,成田中部,,ANA,80,18100,20300,2,160,,1,,,,
100,107,101,中部,成田,中部成田,,ANA,80,18100,20300,2,550,,1,,,,
