OD,i,j,空港i,空港j,rk,k,航空会社,所要時間,費用,費用（多客期）,航空便数,滞在可能時間,アクセシビリティ指標,エアライン参入社数,DISk,cpma,Seatk,LFk
C-13,,,高松,東京,,,,,,,,0,,,,,,
C-14,,,東京,高知,,,,,,,,0,,,,,,
C-14,,,東京,高知,,,,,,,,0,,,,,,
C-14,,,高知,東京,,,,,,,,0,,,,,,
C-14,,,高知,東京,,,,,,,,0,,,,,,
C-15,,,東京,松山,,,,,,,,0,,,,,,
C-15,,,東京,松山,,,,,,,,0,,,,,,
C-15,,,松山,東京,,,,,,,,0,,,,,,
C-15,,,松山,東京,,,,,,,,0,,,,,,
C-16,,,東京,北九州,,,JAL,100,36700,38900,4,615,,2,,,,
C-16,,,東京,北九州,,,SFJ,100,29600,31600,11,705,,2,,,,
C-16,,,北九州,東京,,,JAL,100,36700,38900,4,625,,2,,,,
C-16,,,北九州,東京,,,SFJ,100,29600,31600,11,980,,2,,,,
C-17,,,東京,大分,,,,,,,,0,,,,,,
C-17,,,東京,大分,,,,,,,,0,,,,,,
C-17,,,大分,東京,,,,,,,,0,,,,,,
C-17,,,大分,東京,,,,,,,,0,,,,,,
C-18,,,東京,佐賀,,,ANA,110,36700,38900,4,570,,1,,,,
C-18,,,佐賀,東京,,,ANA,110,36700,38900,4,600,,1,,,,
C-19,,,東京,熊本,,,JAL,110,36700,36700,7,535,,3,,,,
C-19,,,東京,熊本,,,ANA,110,36700,36700,5,600,,3,,,,
C-19,,,東京,熊本,,,SNA,110,28500,28500,4,660,,3,,,,
C-19,,,熊本,東京,,,JAL,110,36700,36700,7,570,,3,,,,
C-19,,,熊本,東京,,,ANA,110,36700,36700,5,490,,3,,,,
C-19,,,熊本,東京,,,SNA,110,28500,28500,4,380,,3,,,,
C-20,,,東京,長崎,,,,,,,,0,,,,,,
C-20,,,東京,長崎,,,,,,,,0,,,,,,
C-20,,,東京,長崎,,,,,,,,0,,,,,,
C-20,,,長崎,東京,,,,,,,,0,,,,,,
C-20,,,長崎,東京,,,,,,,,0,,,,,,
C-20,,,長崎,東京,,,,,,,,0,,,,,,
C-21,,,東京,宮崎,,,,,,,,0,,,,,,
C-21,,,東京,宮崎,,,,,,,,0,,,,,,
C-21,,,東京,宮崎,,,,,,,,0,,,,,,
C-21,,,宮崎,東京,,,,,,,,0,,,,,,
C-21,,,宮崎,東京,,,,,,,,0,,,,,,
C-21,,,宮崎,東京,,,,,,,,0,,,,,,
C-22,,,東京,鹿児島,,,JAL,110,38900,41100,7,590,,3,,,,
C-22,,,東京,鹿児島,,,ANA,110,38900,41100,6,630,,3,,,,
C-22,,,東京,鹿児島,,,SNA,110,31500,31500,3,555,,3,,,,
C-22,,,鹿児島,東京,,,JAL,110,38900,41100,7,565,,3,,,,
C-22,,,鹿児島,東京,,,ANA,110,38900,41100,6,560,,3,,,,
C-22,,,鹿児島,東京,,,SNA,110,31500,31500,3,270,,3,,,,
C-23,,,東京,奄美大島,,,,,,,,0,,,,,,
C-23,,,奄美大島,東京,,,,,,,,0,,,,,,
C-25,,,東京,宮古,,,,,,,,0,,,,,,
C-25,,,宮古,東京,,,,,,,,0,,,,,,
C-26,,,東京,石垣,,,,,,,,0,,,,,,
C-26,,,石垣,東京,,,,,,,,0,,,,,,
C-27,,,成田,中部,,,ANA,80,18100,20300,2,160,,1,,,,
C-27,,,中部,成田,,,ANA,80,18100,20300,2,550,,1,,,,
C-28,,,成田,小松,,,IBX,75,21900,24100,1,0,,1,,,,
C-28,,,小松,成田,,,IBX,75,21900,24100,1,585,,1,,,,
C-29,,,成田,広島,,,IBX,95,30800,33000,1,0,,1,,,,
C-29,,,広島,成田,,,IBX,95,30800,33000,1,480,,1,,,,
D-1,,,調布,新島,,,,,,,,0,,,,,,
D-1,,,新島,調布,,,,,,,,0,,,,,,
D-2,,,調布,大島,,,,,,,,0,,,,,,
D-2,,,大島,調布,,,,,,,,0,,,,,,
D-3,,,調布,神津島,,,,,,,,0,,,,,,
D-3,,,神津島,調布,,,,,,,,0,,,,,,
E-1,,,中部,新千歳,,,JAL,100,37300,39500,5,465,,2,,,,
E-1,,,中部,新千歳,,,ANA,100,37300,39500,7,650,,2,,,,
E-1,,,新千歳,中部,,,JAL,100,37300,39500,5,615,,2,,,,
E-1,,,新千歳,中部,,,ANA,100,37300,39500,7,635,,2,,,,
E-3,,,中部,女満別,,,,,,,,0,,,,,,
E-3,,,女満別,中部,,,,,,,,0,,,,,,
E-4,,,中部,釧路,,,,,,,,0,,,,,,
E-4,,,釧路,中部,,,,,,,,0,,,,,,
E-5,,,小牧,帯広,,,,,,,,0,,,,,,
E-5,,,帯広,小牧,,,,,,,,0,,,,,,
E-6,,,中部,旭川,,,,,,,,0,,,,,,
E-6,,,旭川,中部,,,,,,,,0,,,,,,
E-7,,,中部,函館,,,,,,,,0,,,,,,
E-7,,,函館,中部,,,,,,,,0,,,,,,
E-8,,,中部,青森,,,JAL,80,32500,34700,2,605,,1,,,,
E-8,,,青森,中部,,,JAL,80,32500,34700,2,300,,1,,,,
E-9,,,中部,秋田,,,ANA,70,28700,30800,1,35,,1,,,,
E-9,,,秋田,中部,,,ANA,70,28700,30800,1,0,,1,,,,
E-10,,,中部,秋田,,,JAL,70,28700,30800,2,535,,1,,,,
E-10,,,秋田,中部,,,JAL,70,28700,30800,2,350,,1,,,,
E-11,,,中部,花巻,,,JAL,75,30800,33000,2,550,,1,,,,
E-11,,,花巻,中部,,,JAL,75,30800,33000,2,325,,1,,,,
E-12,,,小牧,山形,,,JAL,60,28400,30600,1,310,,1,,,,
E-12,,,山形,小牧,,,JAL,60,28400,30600,1,0,,1,,,,
