"","X.1","rk","i","j","X207ゾーンi","X207ゾーンj","X47ゾーンi","X47ゾーンj","X207ゾーン名i","X207ゾーン名j","最寄りi","最寄りj","X","x_ij.k","ODij","所要時間","費用","航空便数","滞在可能時間","アクセシビリティ","鉄道ダミー","エアライン参入数","prob","y","utility","sumexputility","Probability"
"62",145,145,2,19,31,111,11,18,"盛岡","浦和","盛岡","大宮","盛岡駅大宮駅",87,87,149,16420,1,782,1.524693,1,0,0.999,6.90675477864855,6.0729684675852,21318.4402414322,0.0203564136716037
"63",147,147,2,20,31,113,11,18,"盛岡","児玉・大里","盛岡","熊谷","盛岡駅熊谷駅",5,5,163,15120,1,754,1.524693,1,0,0.999,6.90675477864855,5.59750473252556,21318.4402414322,0.0126534802423985
"64",149,149,2,21,31,131,11,18,"盛岡","23区","盛岡","東京","盛岡駅東京駅",477,477,175,16840,1,730,1.524693,1,0,0.999,6.90675477864855,5.45313335570886,21318.4402414322,0.0109524252799897
"65",151,151,2,22,31,141,11,18,"盛岡","横浜","盛岡","新横浜","盛岡駅新横浜駅",57,57,194,17920,1,692,1.524693,1,0,0.999,6.90675477864855,5.07195863090501,21318.4402414322,0.00748114753276608
"66",153,153,2,23,31,144,11,18,"盛岡","小田原","盛岡","小田原","盛岡駅小田原駅",5,5,215,19220,1,650,1.524693,1,0,0.999,6.90675477864855,4.66053187968063,21318.4402414322,0.00495778685447869
"67",155,155,2,24,31,151,11,20,"盛岡","新潟","盛岡","新潟","盛岡駅新潟駅",7,7,244,7340,1,592,1.524693,1,0,0.999,6.90675477864855,2.82259854579163,284.06270678069,0.0592140480843623
"68",157,157,2,25,31,152,11,20,"盛岡","長岡","盛岡","長岡","盛岡駅長岡駅",2,2,221,9500,1,638,1.524693,1,0,0.999,6.90675477864855,3.60597251513608,284.06270678069,0.129610368140954
"69",159,159,2,26,31,154,11,20,"盛岡","三条・燕","盛岡","燕三条","盛岡駅燕三条駅",1,1,232,8860,1,616,1.524693,1,0,0.999,6.90675477864855,3.26781025443075,284.06270678069,0.0924225060631267
"70",163,163,2,28,31,201,11,18,"盛岡","長野","盛岡","長野","盛岡駅長野駅",3,3,235,10800,1,610,1.524693,1,0,0.999,6.90675477864855,3.37192386116851,21318.4402414322,0.00136663487688347
"71",165,165,2,29,31,203,11,24,"盛岡","上田","盛岡","上田","盛岡駅上田駅",2,2,223,11880,1,634,1.524693,1,0,0.999,6.90675477864855,3.77628070993051,277.133760593031,0.157517365456061
"72",167,167,2,30,31,211,11,24,"盛岡","岐阜","盛岡","岐阜羽島","盛岡駅岐阜羽島駅",1,4,355,23980,1,370,1.524693,1,0,0.25,-1.09861228866811,1.55494523685156,277.133760593031,0.0170849889016819
"73",169,169,2,31,31,221,11,18,"盛岡","中部","盛岡","静岡","盛岡駅静岡駅",7,7,243,20300,1,594,1.524693,1,0,0.999,6.90675477864855,4.05129960126089,21318.4402414322,0.00269588669218893
"74",171,171,2,32,31,222,11,24,"盛岡","西部","盛岡","浜松","盛岡駅浜松駅",6,6,269,21600,1,542,1.524693,1,0,0.999,6.90675477864855,3.5131742091388,277.133760593031,0.121077302864855
"75",173,173,2,33,31,223,11,18,"盛岡","東部","盛岡","三島","盛岡駅三島駅",2,2,237,19660,1,606,1.524693,1,0,0.999,6.90675477864855,4.1439127196078,21318.4402414322,0.00295748806805989
"76",175,175,2,34,31,231,11,24,"盛岡","名古屋","盛岡","名古屋","盛岡駅名古屋駅",13,13,274,23320,1,532,1.524693,1,0,0.999,6.90675477864855,3.54618092957891,277.133760593031,0.125140352661273
"77",179,179,2,36,31,233,11,24,"盛岡","豊田","盛岡","三河安城","盛岡駅三河安城駅",5,6,331,22680,1,418,1.524693,1,0,0.833333333333333,1.6094379124341,2.04239117261457,277.133760593031,0.0278169673746938
"78",183,183,2,38,31,261,11,25,"盛岡","京都","盛岡","京都","盛岡駅京都駅",14,18,310,25920,1,460,1.524693,1,0,0.777777777777778,1.25276296849537,2.87536579620741,109.076326144348,0.162564232104322
"79",185,185,2,39,31,271,11,25,"盛岡","大阪","盛岡","新大阪","盛岡駅新大阪駅",7,16,325,26360,1,430,1.524693,1,0,0.4375,-0.251314428280906,2.53612473339138,109.076326144348,0.115796244690355
"80",187,187,2,40,31,281,11,25,"盛岡","神戸","盛岡","新神戸","盛岡駅新神戸駅",2,4,338,27000,1,404,1.524693,1,0,0.5,0,2.26613351778767,109.076326144348,0.0883972552309401
"81",191,191,2,42,31,331,11,30,"盛岡","県南","盛岡","岡山","盛岡駅岡山駅",1,1,370,28940,1,340,1.524693,1,0,0.999,6.90675477864855,1.63539500731867,5.13148457070616,1
"82",193,193,2,43,31,341,11,31,"盛岡","広島","盛岡","広島","盛岡駅広島駅",3,4,411,31320,1,258,1.524693,1,0,0.75,1.09861228866811,0.817453803110896,9.51040819809311,0.238131319335027
"83",207,207,2,50,31,401,11,37,"盛岡","福岡","盛岡","博多","盛岡駅博多駅",0,3,475,35640,1,130,1.524693,1,0,0.001,-6.90675477864855,-0.403168357949985,6.73822466047406,0.0991655260560099
"84",209,209,2,51,31,402,11,37,"盛岡","北九州","盛岡","小倉","盛岡駅小倉駅",2,3,458,35000,1,164,1.524693,1,0,0.666666666666667,0.693147180559945,-0.0318182296280991,6.73822466047406,0.14375932722516
"85",217,217,3,1,32,22,11,10,"北上中部","南部","新花巻","八戸","新花巻駅八戸駅",8,8,36,4540,1,1008,5.206247,1,0,0.999,6.90675477864855,7.75448951192727,5765.74839778623,0.404460689627524
"86",225,225,3,5,32,41,11,12,"北上中部","仙台","新花巻","仙台","新花巻駅仙台駅",147,147,74,5180,1,932,5.206247,1,0,0.999,6.90675477864855,6.85100509183497,14552.4889608402,0.0649256682568235
"87",227,227,3,6,32,43,11,12,"北上中部","古川","新花巻","くりこま高原","新花巻駅くりこま高原駅",4,4,50,2980,1,980,5.206247,1,0,0.999,6.90675477864855,7.25488426875841,14552.4889608402,0.0972341733322455
"88",229,229,3,7,32,51,11,13,"北上中部","秋田臨海","新花巻","秋田","新花巻駅秋田駅",1,1,95,6040,1,890,5.206247,1,0,0.999,6.90675477864855,6.39872348073347,1166.87268603828,0.515118117360019
"89",231,231,3,8,32,61,11,15,"北上中部","山形","新花巻","山形","新花巻駅山形駅",1,1,159,5180,1,762,5.206247,1,0,0.999,6.90675477864855,4.69712819657376,401.611736593348,0.272979768128793
"90",233,233,3,9,32,63,11,12,"北上中部","米沢","新花巻","米沢","新花巻駅米沢駅",1,1,125,6700,1,830,5.206247,1,0,0.999,6.90675477864855,5.69981392516284,14552.4889608402,0.0205333805950187
"91",237,237,3,11,32,71,11,12,"北上中部","福島","新花巻","福島","新花巻駅福島駅",11,11,89,8000,1,902,5.206247,1,0,0.999,6.90675477864855,6.73275168017244,14552.4889608402,0.057684565299276
"92",239,239,3,12,32,73,11,17,"北上中部","郡山","新花巻","郡山","新花巻駅郡山駅",2,2,104,9500,1,872,5.206247,1,0,0.999,6.90675477864855,6.49193368887857,3886.32904945559,0.169774089140758
"93",243,243,3,14,32,91,11,18,"北上中部","宇都宮","新花巻","宇都宮","新花巻駅宇都宮駅",5,5,131,12960,1,818,5.206247,1,0,0.999,6.90675477864855,6.12902878979188,21318.4402414322,0.0215301946579533
"94",245,245,3,15,32,93,11,18,"北上中部","栃木・小山","新花巻","小山","新花巻駅小山駅",4,4,42,13600,1,996,5.206247,1,0,0.999,6.90675477864855,8.44368984850161,21318.4402414322,0.217917687516401
"95",247,247,3,16,32,95,11,18,"北上中部","那須","新花巻","那須塩原","新花巻駅那須塩原駅",1,1,70,11880,1,940,5.206247,1,0,0.999,6.90675477864855,7.57447209813656,21318.4402414322,0.0913683977417027
"96",249,249,3,17,32,101,11,18,"北上中部","前橋・高崎","新花巻","高崎","新花巻駅高崎駅",6,6,173,12960,1,734,5.206247,1,0,0.999,6.90675477864855,5.06476020625105,21318.4402414322,0.00742748841817866
"97",253,253,3,19,32,111,11,18,"北上中部","浦和","新花巻","大宮","新花巻駅大宮駅",40,40,149,15120,1,782,5.206247,1,0,0.999,6.90675477864855,5.87347390377505,21318.4402414322,0.0166748478373087
"98",255,255,3,20,32,113,11,18,"北上中部","児玉・大里","新花巻","熊谷","新花巻駅熊谷駅",4,4,163,14040,1,754,5.206247,1,0,0.999,6.90675477864855,5.41843759865396,21318.4402414322,0.0105789392495841
"99",257,257,3,21,32,131,11,18,"北上中部","23区","新花巻","東京","新花巻駅東京駅",146,146,175,15760,1,730,5.206247,1,0,0.999,6.90675477864855,5.27406622183727,21318.4402414322,0.00915677263907102
"100",259,259,3,22,32,141,11,18,"北上中部","横浜","新花巻","新横浜","新花巻駅新横浜駅",13,13,194,16840,1,692,5.206247,1,0,0.999,6.90675477864855,4.89289149703342,21318.4402414322,0.00625461167601321
"101",261,261,3,23,32,144,11,18,"北上中部","小田原","新花巻","小田原","新花巻駅小田原駅",2,2,215,18580,1,650,5.206247,1,0,0.999,6.90675477864855,4.52231960568616,21318.4402414322,0.00431780498789119
"102",271,271,3,28,32,201,11,18,"北上中部","長野","新花巻","長野","新花巻駅長野駅",1,1,235,9500,1,610,5.206247,1,0,0.999,6.90675477864855,3.17242929735835,21318.4402414322,0.00111947168046501
