"第4表  国内定期航空路線別, 区間別, 月別運航及び運送実績",,,,,,,,,,,,,,,,,,,,,
（平成２１年）,,,,,,,,,,,,,,,,,,,,,
空港i,空港j,航空会社,運航回数,運航キロメートル,運航時間,旅客数,座席数,,人キロメートル,座席キロメートル,座席利用率,貨物,超過手荷物,郵便物,旅客,貨物,超過手荷物,郵便物,計,"利用可能
トンキロメートル",重量利用率(%)
新千歳,福岡,ANA,371,"598,794",905:29:00,"102,915","148,936",401,"166,104,810","240,382,704",69.1,"1,991,069","1,895","202,102","12,457,861","3,213,585","3,059","326,193","16,000,698","51,516,812",31.1
福岡,那覇,JAL,"1,833","1,847,664","3,116:07","199,883","352,312",192,"201,482,064","355,130,496",56.7,"6,055,652","1,499","156,093","15,111,155","6,104,097","1,511","157,340","21,374,103","42,251,228",50.6
那覇,福岡,JAL,"1,828","1,842,624","2,940:38","210,209","351,244",192,"211,890,672","354,053,952",59.8,"2,768,300","1,578","16,839","15,891,801","2,790,448","1,590","16,974","18,700,813","42,105,168",44.4
福岡,那覇,ANA,"2,907","2,930,256","4,790:39","373,204","608,891",209,"376,189,632","613,762,128",61.3,"9,726,717","4,775","348,092","28,214,223","9,804,531","4,814","350,876","38,374,444","100,214,960",38.3
那覇,福岡,ANA,"2,909","2,932,272","4,634:04","371,051","604,203",208,"374,019,408","609,036,624",61.4,"6,096,325","4,119","167,036","28,051,456","6,145,094","4,151","168,371","34,369,072","99,570,840",34.5
福岡,那覇,JTA,365,"367,920",586:21:00,"35,297","53,110",146,"35,579,376","53,534,880",66.5,"406,423",0,"1,758","2,668,453","409,674",0,"1,773","3,079,900","5,673,148",54.3
那覇,福岡,JTA,367,"369,936",587:50:00,"27,577","53,330",145,"27,797,616","53,756,640",51.7,"349,993",0,336,"2,084,821","352,794",0,339,"2,437,954","5,704,233",42.7
福岡,那覇,SKY,594,"598,752","1,002:17","46,870","105,138",177,"47,244,960","105,979,104",44.6,0,"2,765",0,"3,543,372",0,"2,786",0,"3,546,158","11,155,717",31.8
那覇,福岡,SKY,591,"595,728",962:21:00,"46,854","104,607",177,"47,228,832","105,443,856",44.8,0,"1,541",0,"3,542,162",0,"1,554",0,"3,543,716","11,099,376",31.9
東京,稚内,ANA,479,"572,405",916:53:00,"50,486","81,782",171,"60,330,770","97,729,490",61.7,"5,071","1,022",0,"4,524,807","6,059","1,222",0,"4,532,088","12,688,806",35.7
稚内,東京,ANA,467,"558,065",925:40:00,"42,479","79,772",171,"50,762,405","95,327,540",53.3,"154,919",890,0,"3,807,181","185,127","1,066",0,"3,993,374","12,392,469",32.2
東京,釧路,JAL,"1,082","1,116,624","1,720:44","158,979","283,008",262,"164,066,328","292,064,256",56.2,"672,473","1,193",0,"12,304,974","693,992","1,230",0,"13,000,196","42,324,488",30.7
釧路,東京,JAL,"1,081","1,115,592","1,881:38","163,152","283,008",262,"168,372,864","292,064,256",57.6,"3,128,000","1,222","38,465","12,627,964","3,228,096","1,260","39,696","15,897,016","42,299,204",37.6
東京,釧路,ANA,728,"751,296","1,148:06","77,664","123,377",169,"80,149,248","127,325,064",62.9,"111,518","2,344",0,"6,011,194","115,087","2,417",0,"6,128,698","17,178,809",35.7
釧路,東京,ANA,727,"750,264","1,307:59","78,119","123,202",169,"80,618,808","127,144,464",63.4,"1,282,884","2,085","15,106","6,046,411","1,323,935","2,154","15,590","7,388,090","17,156,224",43.1
東京,函館,JAL,"1,087","854,382","1,476:02","239,803","374,231",344,"188,485,158","294,145,566",64.1,"2,983,227","1,800","304,918","14,136,387","2,344,817","1,413","239,666","16,722,283","35,728,494",46.8
函館,東京,JAL,"1,086","853,596","1,537:38","223,082","373,272",344,"175,342,452","293,391,792",59.8,"6,012,709","1,672","113,441","13,150,683","4,725,989","1,315","89,165","17,967,152","35,062,046",51.2
東京,函館,ANA,731,"574,566",977:33:00,"176,356","251,067",343,"138,615,816","197,338,662",70.2,"2,215,890","2,960","427,791","10,396,186","1,741,691","2,327","336,243","12,476,447","37,764,713",33
函館,東京,ANA,727,"571,422","1,059:45","153,967","250,015",344,"121,018,062","196,511,790",61.6,"2,745,855","3,944","2,330","9,076,356","2,158,242","3,099","1,831","11,239,528","37,647,579",29.9
東京,函館,ADO,726,"570,636",947:54:00,"115,342","164,764",227,"90,658,812","129,504,504",70,"380,212","3,369",0,"6,799,413","298,847","2,647",0,"7,100,907","18,266,202",38.9
函館,東京,ADO,722,"567,492","1,034:35","131,071","163,940",227,"103,021,806","128,856,840",80,"990,934","3,360",0,"7,726,634","778,874","2,640",0,"8,508,148","18,176,734",46.8
東京,旭川,JAL,"1,506","1,584,312","2,492:00","274,424","401,851",267,"288,694,048","422,747,252",68.3,"4,144,111","2,058","620,824","21,652,054","4,359,604","2,165","653,106","26,666,929","61,584,395",43.3
旭川,東京,JAL,"1,503","1,581,156","2,653:36","248,996","401,411",267,"261,943,792","422,284,372",62,"4,037,399","1,868","239,060","19,645,785","4,247,343","1,963","251,490","24,146,581","61,496,132",39.3
東京,旭川,SKY,631,"663,812","1,070:33","62,302","111,687",177,"65,541,704","117,494,724",55.8,0,"1,438",0,"4,915,628",0,"1,511",0,"4,917,139","12,367,891",39.8
旭川,東京,SKY,635,"668,020","1,138:12","68,498","112,395",177,"72,059,896","118,239,540",60.9,0,"1,160",0,"5,404,493",0,"1,223",0,"5,405,716","12,446,293",43.4
東京,旭川,ADO,"1,089","1,145,628","1,794:32","147,128","207,186",190,"154,778,656","217,959,672",71,"246,108","3,124",0,"11,608,402","258,906","3,288",0,"11,870,596","29,487,529",40.3
旭川,東京,ADO,"1,088","1,144,576","1,935:20","134,026","207,060",190,"140,995,352","217,827,120",64.7,"771,342","2,935",0,"10,574,653","811,452","3,088",0,"11,389,193","29,472,260",38.6
東京,帯広,JAL,"1,445","1,443,555","2,229:56","254,277","412,876",286,"254,022,723","412,463,124",61.6,"3,640,196","1,907","390,479","19,051,705","3,636,557","1,907","390,088","23,080,257","61,689,351",37.4
帯広,東京,JAL,"1,444","1,442,556","2,425:39","235,814","412,586",286,"235,578,186","412,173,414",57.2,"4,723,488","1,767","92,038","17,668,363","4,718,764","1,767","91,944","22,480,838","61,627,213",36.5
東京,中標津,ANA,363,"405,834",613:46:00,"43,430","67,365",186,"48,554,740","75,314,070",64.5,"22,418","1,991",0,"3,641,605","25,063","2,225",0,"3,668,893","10,952,223",33.5
中標津,東京,ANA,362,"404,716",683:27:00,"35,464","67,203",186,"39,648,752","75,132,954",52.8,"310,094","1,846",0,"2,973,656","346,683","2,065",0,"3,322,404","10,927,756",30.4
東京,女満別,JAL,"1,090","1,260,040","1,856:24","157,984","263,315",242,"182,629,504","304,392,140",60,"663,525","1,184",0,"13,697,214","767,036","1,369",0,"14,465,619","42,556,061",34
女満別,東京,JAL,"1,089","1,258,884","2,038:10","151,986","263,315",242,"175,695,816","304,392,140",57.7,"2,071,179","1,141","23,328","13,177,186","2,394,284","1,318","26,966","15,599,754","42,528,779",36.7
東京,女満別,ADO,824,"952,544","1,388:44","68,695","103,824",126,"79,411,420","120,020,544",66.2,"18,334","1,543",0,"5,955,857","21,196","1,783",0,"5,978,836","13,826,366",43.2
女満別,東京,ADO,824,"952,544","1,563:27","73,232","103,824",126,"84,656,192","120,020,544",70.5,"350,299","1,650",0,"6,349,214","404,947","1,906",0,"6,756,067","13,826,366",48.9
東京,紋別,ANA,364,"448,812",651:14:00,"25,155","45,887",126,"31,016,115","56,578,671",54.8,"1,064",745,0,"2,326,209","1,311",918,0,"2,328,438","6,216,391",37.5
紋別,東京,ANA,364,"448,812",681:59:00,"19,232","45,887",126,"23,713,056","56,578,671",41.9,"63,322",695,0,"1,778,478","78,076",858,0,"1,857,412","6,216,391",29.9
東京,青森,JAL,"2,178","1,502,820","2,733:31","318,551","599,784",275,"219,800,190","413,850,960",53.1,"2,066,418","2,390","551,340","16,485,016","1,425,828","1,650","380,425","18,292,919","61,162,773",29.9
青森,東京,JAL,"2,177","1,502,130","2,774:05","314,020","599,924",276,"216,673,800","413,947,560",52.3,"1,833,869","2,356","199,635","16,250,537","1,265,370","1,625","137,747","17,655,279","61,165,188",28.9
東京,三沢,JAL,"1,086","743,910","1,415:02","96,284","173,712",160,"65,954,540","118,992,720",55.4,"262,989",723,"681,185","4,946,591","180,147",494,"466,612","5,593,844","12,652,841",44.2
三沢,東京,JAL,"1,083","741,855","1,417:51","97,634","173,249",160,"66,879,290","118,675,565",56.4,"191,343",734,"205,543","5,015,948","131,068",503,"140,797","5,288,316","12,620,098",41.9
東京,秋田,JAL,"1,088","603,840","1,231:11","133,988","259,535",239,"74,363,340","144,041,925",51.6,"663,540","1,003","103,836","5,577,250","368,265",558,"57,629","6,003,702","20,069,411",29.9
秋田,東京,JAL,"1,088","603,840","1,215:08","136,276","259,825",239,"75,633,180","144,202,875",52.4,"161,816","1,020","60,153","5,672,490","89,808",566,"33,384","5,796,248","20,080,011",28.9
東京,秋田,ANA,"1,453","806,415","1,587:07","224,504","390,074",268,"124,599,720","216,491,070",57.6,"441,400","3,880","372,193","9,344,981","244,978","2,155","206,567","9,798,681","39,325,040",24.9
秋田,東京,ANA,"1,452","805,860","1,655:27","215,723","389,806",268,"119,726,265","216,342,330",55.3,"967,622","3,261","14,584","8,979,471","537,030","1,809","8,094","9,526,404","39,297,804",24.2
東京,大館,ANA,721,"452,788",872:49:00,"43,953","91,146",126,"27,602,484","57,239,688",48.2,"42,428","1,672",0,"2,070,186","26,644","1,050",0,"2,097,880","6,299,049",33.3
大館,東京,ANA,715,"449,020",906:57:00,"42,320","90,393",126,"26,576,960","56,766,804",46.8,"10,648","1,515",0,"1,993,272","6,688",953,0,"2,000,913","6,246,880",32
東京,山形,JAL,363,"160,083",353:58:00,"27,277","57,817",159,"12,029,157","25,497,297",47.2,"14,926",204,0,"902,188","6,583",90,0,"908,861","2,597,844",35
