"","i","j","空港i","空港j","航空会社","旅客数","所要時間","費用","航空便数","滞在可能時間","アクセシビリティ","エアライン参入数","鉄道ダミー","一便あたり座席数","一便あたり貨物"
"135",46,37,"那覇","福岡","JAL",210209,100,27500,5,150,5.6347,4,0,192.146608315098,1514.38730853392
"136",46,37,"那覇","福岡","ANA",371051,100,27500,8,685,5.6347,4,0,207.701271914747,2095.67720866277
"137",46,37,"那覇","福岡","JTA",27577,100,27500,1,615,5.6347,4,0,145.313351498638,953.659400544959
"138",46,37,"那覇","福岡","SKY",46854,100,19800,2,470,5.6347,4,0,177,0
"139",18,25,"東京","新大阪","JR",NA,150,14450,1,780,12.048303,0,1,0,0
"140",18,37,"東京","博多","JR",NA,300,22950,1,480,8.70507,0,1,0,0
"141",25,18,"新大阪","東京","JR",NA,150,14450,1,780,12.048303,0,1,0,0
"142",25,37,"新大阪","博多","JR",NA,150,15310,1,780,7.008287,0,1,0,0
"143",37,18,"博多","東京","JR",NA,300,22950,1,480,8.70507,0,1,0,0
"144",37,25,"博多","新大阪","JR",NA,150,15310,1,780,7.008287,0,1,0,0
"145",18,8,"東京","札幌","JR",NA,314,21000,1,452,7.452543,0,1,0,0
"146",25,8,"新大阪","札幌","JR",NA,464,35450,1,152,5.75576,0,1,0,0
"147",37,8,"博多","札幌","JR",NA,614,43950,1,0,2.412527,0,1,0,0
"148",8,18,"札幌","東京","JR",NA,314,21000,1,452,7.452543,0,1,0,0
"149",8,25,"札幌","新大阪","JR",NA,464,35450,1,152,5.75576,0,1,0,0
"150",8,37,"札幌","博多","JR",NA,614,43950,1,0,2.412527,0,1,0,0
"151",12,8,"仙台","札幌","JR",NA,222,16800,1,636,2.057914,0,1,0,0
"152",3,8,"新函館北斗","札幌","JR",NA,64,7760,1,952,17.243684,0,1,0,0
"153",8,12,"札幌","仙台","JR",NA,222,16800,1,636,2.057914,0,1,0,0
"154",8,3,"札幌","新函館北斗","JR",NA,64,7760,1,952,17.243684,0,1,0,0
"155",3,18,"新函館北斗","東京","JR",NA,250,18280,1,580,18.3042805,0,1,0,0
"156",18,3,"東京","新函館北斗","JR",NA,250,18280,1,580,18.3042805,0,1,0,0
"157",3,25,"新函館北斗","新大阪","JR",NA,464,32730,1,0,18.3042805,0,1,0,0
"158",25,3,"新大阪","新函館北斗","JR",NA,464,32730,1,0,18.3042805,0,1,0,0
