"","OD","i","j","空港i","空港j","rk","k","航空会社","所要時間","費用","費用.多客期.","航空便数","滞在可能時間","アクセシビリティ指標","エアライン参入社数","DISk","cpma","Seatk","LFk","V20","V21","V22"
"100","B-8",NA,NA,"東京","函館",NA,NA,"JAL",80,31400,33600,3,640,NA,3,NA,NA,NA,NA,18,3,1
"101","B-8",NA,NA,"東京","函館",NA,NA,"ANA",80,31400,33600,2,425,NA,3,NA,NA,NA,NA,18,3,2
"102","B-8",NA,NA,"東京","函館",NA,NA,"ADO",80,24200,28000,2,525,NA,3,NA,NA,NA,NA,18,3,7
"103","B-8",NA,NA,"函館","東京",NA,NA,"JAL",80,31400,33600,3,375,NA,3,NA,NA,NA,NA,3,18,1
"104","B-8",NA,NA,"函館","東京",NA,NA,"ANA",80,31400,33600,2,175,NA,3,NA,NA,NA,NA,3,18,2
"105","B-8",NA,NA,"函館","東京",NA,NA,"ADO",80,24200,28000,2,280,NA,3,NA,NA,NA,NA,3,18,7
"106","B-19",NA,NA,"成田","仙台",NA,NA,"ANA",60,18100,20300,2,0,NA,2,NA,NA,NA,NA,18,12,2
"107","B-19",NA,NA,"成田","仙台",NA,NA,"IBX",60,18100,20300,2,270,NA,2,NA,NA,NA,NA,18,12,5
"108","B-19",NA,NA,"仙台","成田",NA,NA,"ANA",60,18100,20300,2,450,NA,2,NA,NA,NA,NA,12,18,2
"109","B-19",NA,NA,"仙台","成田",NA,NA,"IBX",60,18100,20300,2,0,NA,2,NA,NA,NA,NA,12,18,5
"110","C-16",NA,NA,"東京","北九州",NA,NA,"JAL",100,36700,38900,4,615,NA,2,NA,NA,NA,NA,18,37,1
"111","C-16",NA,NA,"東京","北九州",NA,NA,"SFJ",100,29600,31600,11,705,NA,2,NA,NA,NA,NA,18,37,3
"112","C-16",NA,NA,"北九州","東京",NA,NA,"JAL",100,36700,38900,4,625,NA,2,NA,NA,NA,NA,37,18,1
"113","C-16",NA,NA,"北九州","東京",NA,NA,"SFJ",100,29600,31600,11,980,NA,2,NA,NA,NA,NA,37,18,3
"114","C-18",NA,NA,"東京","佐賀",NA,NA,"ANA",110,36700,38900,4,570,NA,1,NA,NA,NA,NA,18,37,2
"115","C-18",NA,NA,"佐賀","東京",NA,NA,"ANA",110,36700,38900,4,600,NA,1,NA,NA,NA,NA,37,18,2
"116","F-9",NA,NA,"関西","函館",NA,NA,"ANA",100,38900,41100,1,30,NA,1,NA,NA,NA,NA,25,3,2
"117","F-9",NA,NA,"函館","関西",NA,NA,"ANA",100,38900,41100,1,0,NA,1,NA,NA,NA,NA,3,25,2
"118","F-24",NA,NA,"大阪","仙台",NA,NA,"ANA",75,30800,33000,6,575,NA,3,NA,NA,NA,NA,25,12,2
"119","F-24",NA,NA,"大阪","仙台",NA,NA,"JEX",75,30800,33000,6,605,NA,3,NA,NA,NA,NA,25,12,11
"120","F-24",NA,NA,"大阪","仙台",NA,NA,"IBX",75,30800,33000,1,0,NA,3,NA,NA,NA,NA,25,12,5
"121","F-24",NA,NA,"仙台","大阪",NA,NA,"ANA",75,30800,33000,6,595,NA,3,NA,NA,NA,NA,12,25,2
"122","F-24",NA,NA,"仙台","大阪",NA,NA,"JEX",75,30800,33000,6,625,NA,3,NA,NA,NA,NA,12,25,11
"123","F-24",NA,NA,"仙台","大阪",NA,NA,"IBX",75,30800,33000,1,55,NA,3,NA,NA,NA,NA,12,25,5
"124","G-13",NA,NA,"大阪","佐賀",NA,NA,"ANA",80,21900,24100,2,275,NA,1,NA,NA,NA,NA,25,37,2
"125","G-13",NA,NA,"佐賀","大阪",NA,NA,"ANA",80,21900,24100,2,60,NA,1,NA,NA,NA,NA,37,25,2
