"","rk","i","j","X207ゾーンi","X207ゾーンj","X47ゾーンi","X47ゾーンj","X207ゾーン名i","X207ゾーン名j","最寄りi","最寄りj","X","x_ij.k","ODij","所要時間","費用","航空便数","滞在可能時間","アクセシビリティ","鉄道ダミー","エアライン参入数","V22","prob","out.share","share"
"76",76,1,38,22,261,10,25,"南部","京都","三沢","関西国際","三沢駅関西国際駅",4,10,0,NA,NA,NA,100.966275,0,NA,78.442426,0.4,0,0.4
"77",77,1,39,22,271,10,25,"南部","大阪","八戸","新大阪","八戸駅新大阪駅",7,11,361,27640,1,358,6.099664,1,0,1.105121,0.636363636363636,0,0.636363636363636
"78",78,1,39,22,271,10,25,"南部","大阪","三沢","関西国際","三沢駅関西国際駅",4,11,0,NA,NA,NA,58.401338,0,NA,35.877489,0.363636363636364,0,0.363636363636364
"79",79,1,40,22,281,10,25,"南部","神戸","八戸","新神戸","八戸駅新神戸駅",1,4,374,28300,1,332,6.72095,1,0,1.726407,0.25,0,0.25
"80",80,1,40,22,281,10,25,"南部","神戸","三沢","関西国際","三沢駅関西国際駅",3,4,0,NA,NA,NA,50.76811,0,NA,28.244261,0.75,0,0.75
"81",81,1,41,22,283,10,25,"南部","播磨","八戸","姫路","八戸駅姫路駅",2,3,391,28940,1,298,6.423790667,1,0,1.429247667,0.666666666666667,0,0.666666666666667
"82",82,1,41,22,283,10,25,"南部","播磨","三沢","関西国際","三沢駅関西国際駅",1,3,0,NA,NA,NA,87.30514267,0,NA,64.78129367,0.333333333333333,0,0.333333333333333
"83",83,1,42,22,331,10,30,"南部","県南","八戸","岡山","八戸駅岡山駅",4,4,406,30680,1,268,6.183913167,1,0,1.189370167,1,0,0.999
"84",84,1,42,22,331,10,30,"南部","県南","三沢","岡山","三沢駅岡山駅",0,4,0,NA,NA,NA,42.20796767,0,NA,19.68411867,0,0,0.001
"85",85,1,43,22,341,10,31,"南部","広島","八戸","広島","八戸駅広島駅",1,2,447,33040,1,186,7.0993665,1,0,2.1048235,0.5,0,0.5
"86",86,1,43,22,341,10,31,"南部","広島","三沢","広島","三沢駅広島駅",1,2,0,NA,NA,NA,67.64736517,0,NA,45.12351617,0.5,0,0.5
"87",87,1,44,22,342,10,31,"南部","備後","八戸","福山","八戸駅福山駅",0,0,424,31320,1,232,5.561808167,1,0,0.567265167,NA,NA,NA
"88",88,1,44,22,342,10,31,"南部","備後","三沢","広島","三沢駅広島駅",0,0,0,NA,NA,NA,65.5242885,0,NA,43.0004395,NA,NA,NA
"89",89,1,45,22,351,10,32,"南部","山口","八戸","新山口","八戸駅新山口駅",0,0,475,35000,1,130,15.89013974,1,0,10.89559674,NA,NA,NA
"90",90,1,45,22,351,10,32,"南部","山口","三沢","山口宇部","三沢駅山口宇部駅",0,0,0,NA,NA,NA,57.13556248,0,NA,34.61171348,NA,NA,NA
"91",91,1,46,22,352,10,32,"南部","下関","八戸","新下関","八戸駅新下関駅",0,1,618,36280,1,NA,10.468249,1,0,5.473706,0,1,0.001
"92",92,1,46,22,352,10,32,"南部","下関","三沢","山口宇部","三沢駅山口宇部駅",0,1,0,NA,NA,NA,53.697074,0,NA,31.173225,0,1,0.001
"93",93,1,47,22,353,10,32,"南部","宇部","八戸","厚狭","八戸駅厚狭駅",0,0,607,35640,1,NA,18.57694,1,0,13.582397,NA,NA,NA
"94",94,1,47,22,353,10,32,"南部","宇部","三沢","山口宇部","三沢駅山口宇部駅",0,0,0,NA,NA,NA,26.134742,0,NA,3.610893,NA,NA,NA
"95",95,1,48,22,354,10,32,"南部","岩国","八戸","新岩国","八戸駅新岩国駅",0,0,557,33700,1,NA,11.479204,1,0,6.484661,NA,NA,NA
"96",96,1,48,22,354,10,32,"南部","岩国","三沢","山口宇部","三沢駅山口宇部駅",0,0,0,NA,NA,NA,113.469258,0,NA,90.945409,NA,NA,NA
"97",97,1,49,22,355,10,32,"南部","徳山","八戸","徳山","八戸駅徳山駅",0,0,472,34340,1,136,12.285167,1,0,7.290624,NA,NA,NA
"98",98,1,49,22,355,10,32,"南部","徳山","三沢","山口宇部","三沢駅山口宇部駅",0,0,0,NA,NA,NA,78.176152,0,NA,55.652303,NA,NA,NA
"99",99,1,50,22,401,10,37,"南部","福岡","八戸","博多","八戸駅博多駅",1,7,511,37360,1,58,6.748202,1,0,1.753659,0.142857142857143,0.142857142857143,0.142857142857143
"100",100,1,50,22,401,10,37,"南部","福岡","三沢","福岡","三沢駅福岡駅",5,7,0,NA,NA,NA,26.555547,0,NA,4.031698,0.714285714285714,0.142857142857143,0.714285714285714
"101",101,1,51,22,402,10,37,"南部","北九州","八戸","小倉","八戸駅小倉駅",0,1,494,36280,1,92,5.739016333,1,0,0.744473333,0,0,0.001
"102",102,1,51,22,402,10,37,"南部","北九州","三沢","福岡","三沢駅福岡駅",1,1,0,NA,NA,NA,67.653225,0,NA,45.129376,1,0,0.999
