"","X","i","j","空港i","空港j","航空会社","旅客数","所要時間","費用","航空便数","滞在可能時間","アクセシビリティ","エアライン参入数","鉄道ダミー","一便あたり座席数","一便あたり貨物","OD","DIS","Seat","Freq","MC","LF","observedprob","airlineNo","utility2","exputility","alpha"
"74",74,18,37,"成田","福岡","JAL",68401,120,36700,2,0,66.145079,2,0,147.222363405337,94.7090216010165,5587903,1107,147.222363405337,787,12177,59,0.012240906830344,1,-9.25224129645732,9.58964785799781e-05,33451.2375559126
"75",75,18,37,"成田","福岡","ANA",49204,120,36700,2,0,66.145079,2,0,122.860082304527,6.86556927297668,5587903,1107,122.860082304527,729,12177,54.9,0.00880544991564814,2,-9.77699104835862,5.67422741975382e-05,40667.3683970017
"76",76,18,37,"東京","北九州","JAL",128677,100,36700,4,615,80.733392,2,0,164.131958762887,119.356701030928,5587903,958,164.131958762887,1455,10538,53.9,0.0230277798308238,1,-9.16789913547529,0.000104335474339668,57839.073890262
"77",77,18,37,"東京","北九州","SFJ",382047,100,29600,11,705,80.733392,2,0,144,708.053732133404,5587903,958,144,3778,8622,70.2,0.068370370781311,3,-6.4119652780048,0.0016417947463228,10913.1551706093
"78",78,18,37,"東京","佐賀","ANA",127199,110,36700,4,570,69.447815,1,0,134.094579646018,4341.52157079646,5587903,1130,134.094579646018,1808,12430,52.5,0.0227632798922959,2,-2.13824268491585,0.117861781426881,50.6131181845813
"79",79,18,37,"東京","博多","JR",1111000,300,22950,1,480,8.70507,0,1,0,0,5587903,NA,NA,1,NA,NA,0.198822348920516,0,-0.609595188915871,0.543570868054881,95.8540095143822
"80",80,18,46,"東京","那覇","JAL",1279999,160,40800,11,720,20.748883,3,0,480.993856332703,9219.23511342155,2603861,1687,480.993856332703,4232,18557,62.9,0.49157731537897,1,11.4203609880111,91159.0432490521,1
"81",81,18,46,"東京","那覇","ANA",1106219,160,40800,9,705,20.748883,3,0,456.351366271046,6482.09108473641,2603861,1687,456.351366271046,3623,18557,66.9,0.424837961780602,2,6.36509886772636,581.202287625275,135.551374756069
"82",82,18,46,"東京","那覇","SKY",163200,160,24700,3,595,20.748883,3,0,192.315547378105,0,2603861,1687,192.315547378105,1087,9278.5,78.1,0.0626761566765661,4,-4.2914687357814,0.0136848111579932,849320.239816957
"83",83,18,46,"成田","那覇","ANA",54443,155,40800,1,200,66.570013,1,0,215.120547945205,158.282191780822,2603861,1887,215.120547945205,365,20757,69.3,0.020908566163862,2,-9.72810897449871,5.95848640821696e-05,65072309.9075436
"84",84,25,3,"関西","函館","ANA",38638,100,38900,1,30,43.577409,1,0,123.351648351648,93.3186813186813,53638,1197,123.351648351648,364,13167,86.1,0.720347514821582,2,-9.31223889636368,9.03121191795278e-05,1
"85",85,25,3,"新大阪","新函館北斗","JR",15000,464,32730,1,0,18.3042805,0,1,0,0,53638,NA,NA,1,NA,NA,0.279652485178418,0,-5.50631629811161,0.00406103952251993,0.00863347106739045
"86",86,25,8,"大阪","新千歳","JAL",157415,110,41400,2,425,54.177172,2,0,271.964376590331,4108.08905852417,1120931,1161,271.964376590331,786,12771,77.5,0.140432372733023,1,-1.31620612602923,0.268150704571479,1
"87",87,25,8,"大阪","新千歳","ANA",102185,110,41400,1,415,54.177172,2,0,302.304245283019,3668.6179245283,1120931,1161,302.304245283019,424,12771,79.7,0.0911608297031664,2,-1.65454871551577,0.191178312046874,0.910502945669432
"88",88,25,8,"関西","新千歳","JAL",236934,110,41300,4,455,77.423601,2,0,231.357679180887,2449.16040955631,1120931,1309,231.357679180887,1465,14399,69.9,0.21137251088604,1,-5.46072301111039,0.00425048148824772,94.9559287792824
"89",89,25,8,"関西","新千歳","ANA",231669,110,41300,4,590,77.423601,2,0,214.428089128967,2003.45509790682,1120931,1309,214.428089128967,1481,14399,73,0.206675522400576,2,-6.47669409962358,0.00153888969536141,256.444424453581
"90",90,25,8,"神戸","新千歳","JAL",176178,115,41400,3,400,68.293435,2,0,233.791705069124,2045.65806451613,1120931,1251,233.791705069124,1085,13761,69.5,0.157171137206483,1,-5.91525966740986,0.00269795913582603,111.236966477704
"91",91,25,8,"神戸","新千歳","ANA",133550,115,41400,3,380,68.293435,2,0,182.345270890725,641.640036730946,1120931,1251,182.345270890725,1089,13761,67.3,0.1191420346123,2,-9.08952499860719,0.000112841655738663,2016.07772414001
"92",92,25,8,"新大阪","札幌","JR",83000,464,35450,1,152,5.75576,0,1,0,0,1120931,NA,NA,1,NA,NA,0.0740455924584118,0,-5.84707529722898,0.00288833433631795,48.9512129947982
"93",93,25,12,"大阪","仙台","ANA",285683,75,30800,6,575,28.404095,3,0,207.224977043159,1352.3709825528,495222,803,207.224977043159,2178,8833,63.3,0.576878652402357,2,-2.70591670953226,0.0668090512721655,1
"94",94,25,12,"大阪","仙台","JEX",200544,75,30800,6,605,28.404095,3,0,156.362298850575,200.103908045977,495222,803,156.362298850575,2175,8833,59,0.404957776512352,10,-5.44220671309329,0.00432991783415596,10.8313084740723
"95",95,25,12,"大阪","仙台","IBX",8995,75,30800,1,0,28.404095,3,0,50,0,495222,803,50,422,8833,42.6,0.018163571085291,7,-7.52174557758514,0.000541187056860221,3.886911684842
"96",96,25,18,"大阪","東京","JAL",1315634,65,22500,15,660,30.83218,2,0,375.231966312706,2857.73416331014,25166092,514,375.231966312706,5462,5654,64.2,0.052278041421767,1,4.82691438332101,124.825203082244,1
"97",97,25,18,"大阪","東京","ANA",1347162,65,22500,14,655,30.83218,2,0,423.17658613239,2438.75564722059,25166092,514,423.17658613239,5091,5654,62.5,0.0535308382405977,2,4.83263737463153,125.541624716822,1.01812071070163
"98",98,25,18,"関西","東京","JAL",243321,75,22500,6,755,54.078609,3,0,164.617543859649,302.375877192982,25166092,678,164.617543859649,2280,7458,64.8,0.00966860488311018,1,-3.67831538606251,0.0252655016207301,913.732054012354
"99",99,25,18,"関西","東京","ANA",230813,75,22500,4,780,54.078609,3,0,189.869700103413,1391.54705274043,25166092,678,189.869700103413,1934,7458,62.9,0.00917158691146802,2,-1.45040384557008,0.234475577047683,93.3963373744495
"100",100,25,18,"関西","東京","SFJ",158283,75,20700,4,755,54.078609,3,0,144,0,25166092,678,144,1456,6102,75.5,0.00628953434645316,3,-4.03876181375324,0.0176192748589035,852.341109068717
