"","空港i","空港j","航空会社","運航回数","運航キロメートル","運航時間","旅客数","座席数","X","人キロメートル","座席キロメートル","座席利用率","貨物","超過手荷物","郵便物","旅客","貨物.1","超過手荷物.1","郵便物.1","計","利用可能.トンキロメートル","重量利用率...","DIS","Seat","Freq","MC","i","j","airlineNo","所要時間","費用","航空便数","滞在可能時間","エアライン参入数","ODairline","ODrailway","OD","アクセシビリティ","鉄道ダミー","一便あたり座席数","一便あたり貨物"
"43","東京","新千歳","ADO",3495,3124530,"5,260:03",602707,849131,"243","538,820,058","759,123,114",71,4874169,"18,057","0","40,411,506","4,357,507","16,142","0","44,785,155","108,743,873",41.2,894,242.955937052933,3493.97964457482,8046,18,8,7,90,25900,10,785,4,4579376,256000,4835376,58.783124,0,242.955937052933,1394.61201716738
"44","成田","新千歳","JAL",638,569096,"1,099:57",63195,114520,"179","56,369,940","102,151,840",55.2,173935,"472","0","4,227,746","155,149","421","0","4,383,316","11,037,250",39.7,892,179.498432601881,637.797745599781,9812,18,8,1,105,33500,2,60,3,4579376,256000,4835376,104.604254,0,179.498432601881,272.62539184953
"45","成田","新千歳","ANA",364,324688,"639:12:00",34133,60246,"166","30,446,636","53,739,432",56.7,121522,"862","0","2,283,498","108,397","767","0","2,392,662","7,094,559",33.7,892,165.510989010989,363.717810474995,9812,18,8,2,105,33500,1,0,3,4579376,256000,4835376,104.604254,0,165.510989010989,333.851648351648
"46","成田","新千歳","IBX",361,322012,"587:31:00",11796,18050,"50","10,522,032","16,100,600",65.4,0,"0","0","789,152","0","0","0","789,152","1,393,225",56.6,892,50,360.733944954128,9812,18,8,5,105,33500,1,40,3,4579376,256000,4835376,104.604254,0,50,0
"47","成田","仙台","ANA",364,158340,"351:21:00",13572,26935,"74","5,903,820","11,716,725",50.4,0,"566","0","442,787","0","246","0","443,033","1,064,993",41.6,435,73.9972527472527,363.91312418786,4785,18,12,2,60,18100,2,0,2,21123,6399000,6420123,78.831177,0,73.9972527472527,0
"48","成田","仙台","IBX",359,156165,"325:40:00",7551,17950,"50","3,284,685","7,808,250",42.1,0,"0","0","246,352","0","0","0","246,352","675,662",36.5,435,50,358.717339667458,4785,18,12,5,60,18100,2,270,2,21123,6399000,6420123,78.831177,0,50,0
"49","東京","大阪","JAL",5463,2807982,"6,119:26",1262583,2050767,"375","648,967,662","1,054,094,238",61.6,24067801,"7,576","1,801,647","48,672,574","12,370,851","3,894","926,048","61,973,367","129,085,498",48,514,375.392092257002,5460.01839023688,5654,18,25,1,65,22500,15,770,2,3916066,21161000,25077066,30.83218,0,375.392092257002,4405.60150100677
"50","東京","大阪","ANA",5096,2619344,"5,634:53",1324401,2155994,"423","680,742,114","1,108,180,916",61.4,16236237,"9,750","2,426,233","51,055,658","8,345,426","5,013","1,247,084","60,653,181","238,661,542",25.4,514,423.075745682889,5098.38937354316,5654,18,25,2,65,22500,14,735,2,3916066,21161000,25077066,30.83218,0,423.075745682889,3186.07476452119
"51","東京","関西","JAL",2281,1546518,"2,934:16",249460,374347,"164","169,133,880","253,807,266",66.6,189389,"1,498","222,910","12,685,040","128,405","1,015","151,135","12,965,595","27,826,206",46.6,678,164.115300306883,2282.32568117755,7458,18,25,1,75,22500,6,870,3,3916066,21161000,25077066,54.078609,0,164.115300306883,83.0289346777729
"52","東京","関西","ANA",1617,1096326,"2,033:02",242305,367216,"227","164,282,790","248,972,448",66,3310927,"2,624","383,507","12,321,211","2,244,809","1,779","260,018","14,827,817","49,495,847",30,678,227.097093382808,1616.61596989238,7458,18,25,2,75,22500,4,760,3,3916066,21161000,25077066,54.078609,0,227.097093382808,2047.57390228819
"53","東京","関西","SFJ",1455,986490,"1,806:39",150657,209520,"144","102,145,446","142,054,560",71.9,0,"502","0","7,660,909","0","341","0","7,661,250","15,258,042",50.2,678,144,1455.1170607325,6102,18,25,3,75,20700,4,490,3,3916066,21161000,25077066,54.078609,0,144,0
"54","成田","大阪","JAL",729,429381,"986:13:00",105150,149657,"205","61,933,350","88,147,973",70.3,481919,"788","19","4,645,001","283,849","463","11","4,929,324","12,781,771",38.6,589,205.290809327846,728.592078513988,6479,18,25,1,85,22500,2,0,2,3916066,21161000,25077066,76.65331,0,205.290809327846,661.068587105624
"55","成田","大阪","ANA",637,375193,"817:08:00",87751,135078,"212","51,685,339","79,560,942",65,1234331,"1,892","0","3,876,401","727,022","1,115","0","4,604,538","23,911,645",19.3,589,212.053375196232,636.639423148107,6479,18,25,2,85,22500,2,0,2,3916066,21161000,25077066,76.65331,0,212.053375196232,1937.72527472527
"56","東京","神戸","JAL",727,505265,"905:20:00",120191,166922,"230","83,532,745","116,010,790",72,68371,"900","572","6,264,957","47,517","625","398","6,313,497","14,003,694",45.1,695,229.603851444292,727.043311313734,7645,18,25,1,70,22500,2,480,3,3916066,21161000,25077066,44.948443,0,229.603851444292,94.0453920220083
"57","東京","神戸","ANA",816,567120,"978:32:00",114621,203727,"250","79,661,595","141,590,265",56.3,1083446,"1,025","0","5,974,621","752,994","714","0","6,728,329","24,823,513",27.1,695,249.665441176471,815.450056230563,7645,18,25,2,70,22500,2,790,3,3916066,21161000,25077066,44.948443,0,249.665441176471,1327.75245098039
"58","東京","神戸","SKY",1895,1317025,"2,394:47",258947,335415,"177","179,968,165","233,113,425",77.2,0,"1,835","0","13,497,612","0","1,275","0","13,498,887","24,538,310",55,695,177,1895.04844705951,3822.5,18,25,4,70,11400,6,690,3,3916066,21161000,25077066,44.948443,0,177,0
"59","東京","福岡","JAL",6779,7056939,"12,468:08",1526552,2622464,"387","1,589,140,632","2,729,985,024",58.2,32322041,"9,160","4,092,986","119,185,548","33,647,244","9,534","4,260,797","157,103,123","332,674,349",47.2,1041,386.851157987904,6780.23453360847,11451,18,37,1,100,36700,19,785,3,4476903,1111000,5587903,20.323949,0,386.851157987904,4767.96592417761
"60","東京","福岡","ANA",6414,6676974,"11,755:05",1605033,2669681,"416","1,670,839,353","2,779,137,921",60.1,33578705,"22,589","1,849,626","125,312,951","34,955,433","23,515","1,925,460","162,217,359","547,003,402",29.7,1041,416.227159338946,6416.217523109,11451,18,37,2,100,36700,18,805,3,4476903,1111000,5587903,20.323949,0,416.227159338946,5235.22061116308
"61","東京","福岡","SKY",3631,3779871,"6,987:51",589790,721349,"199","613,971,390","750,924,309",81.8,0,"11,172","0","46,047,855","0","11,630","0","46,059,485","90,928,997",50.7,1041,198.6640044065,3629.31710795145,5725.5,18,37,4,100,21700,10,760,3,4476903,1111000,5587903,20.323949,0,198.6640044065,0
"62","成田","福岡","JAL",787,871209,"1,609:26",68401,115864,"147","75,719,907","128,261,448",59,74536,"513","22,084","5,678,993","82,512","568","24,446","5,786,519","13,917,204",41.6,1107,147.222363405337,787.474780484893,12177,18,37,1,120,36700,2,0,2,4476903,1111000,5587903,66.145079,0,147.222363405337,94.7090216010165
"63","成田","福岡","ANA",729,807003,"1,533:18",49204,89565,"123","54,468,828","99,148,455",54.9,5005,"2,324","18,277","4,085,163","5,540","2,572","20,233","4,113,508","11,313,451",36.4,1107,122.860082304527,729.486507189119,12177,18,37,2,120,36700,2,0,2,4476903,1111000,5587903,66.145079,0,122.860082304527,6.86556927297668
"64","東京","北九州","JAL",1455,1393890,"2,462:37",128677,238812,"164","123,272,566","228,781,896",53.9,173664,"965","211","9,245,443","166,370","926","202","9,412,941","25,306,720",37.2,958,164.131958762887,1454.51769654968,10538,18,37,1,100,36700,4,615,2,4476903,1111000,5587903,80.733392,0,164.131958762887,119.356701030928
"65","東京","北九州","SFJ",3778,3619324,"6,292:22",382047,544032,"144","366,001,026","521,182,656",70.2,2675027,"7,673","0","27,450,078","2,562,677","7,351","0","30,020,106","55,980,083",53.6,958,144,3779.35066476733,8622,18,37,3,100,29600,11,705,2,4476903,1111000,5587903,80.733392,0,144,708.053732133404
"66","東京","佐賀","ANA",1808,2043040,"3,483:47",127199,242443,"134","143,734,870","273,960,590",52.5,7849471,"3,456","614,117","10,780,117","8,869,903","3,906","693,951","20,347,877","63,088,564",32.3,1130,134.094579646018,1806.81284928436,12430,18,37,2,110,36700,4,570,1,4476903,1111000,5587903,69.447815,0,134.094579646018,4341.52157079646
"67","東京","那覇","JAL",4232,7139384,"11,217:57",1279999,2035566,"481","2,159,358,313","3,433,999,842",62.9,39015803,"9,600","1,089,710","161,951,875","65,819,660","16,195","1,838,341","229,626,071","366,416,400",62.7,1687,480.993856332703,4230.77038512214,18557,18,46,1,160,40800,11,720,3,2603861,58000,2661861,20.748883,0,480.993856332703,9219.23511342155
"68","東京","那覇","ANA",3623,6112001,"9,668:04",1106219,1653361,"456","1,866,191,453","2,789,220,007",66.9,23484616,"21,132","2,903,273","139,964,357","39,618,548","35,650","4,897,821","184,516,376","463,134,415",39.8,1687,456.351366271046,3623.39466547459,18557,18,46,2,160,40800,9,705,3,2603861,58000,2661861,20.748883,0,456.351366271046,6482.09108473641
"69","東京","那覇","SKY",1087,1833769,"3,077:41",163200,209047,"192","275,318,400","352,662,289",78.1,0,"14,489","0","20,648,879","0","24,442","0","20,673,321","41,249,213",50.1,1687,192.315547378105,1086.56253208152,9278.5,18,46,4,160,24700,3,595,3,2603861,58000,2661861,20.748883,0,192.315547378105,0
"70","成田","那覇","ANA",365,688755,"1,075:50",54443,78519,"215","102,733,941","148,165,353",69.3,57773,"3,002","1,052,427","7,705,046","109,020","5,665","1,985,931","9,805,662","31,096,400",31.5,1887,215.120547945205,365.196762056121,20757,18,46,2,155,40800,1,200,1,2603861,58000,2661861,66.570013,0,215.120547945205,158.282191780822
"71","関西","函館","ANA",364,435708,"583:57:00",38638,44900,"123","46,249,686","53,745,300",86.1,33968,"1,156","4,437","3,468,726","40,660","1,386","5,312","3,516,084","6,208,283",56.6,1197,123.351648351648,363.803212196933,13167,25,3,2,100,38900,1,30,1,38638,15000,53638,43.577409,0,123.351648351648,93.3186813186813
"72","大阪","新千歳","JAL",786,912546,"58.68472222",157415,213764,"509","182758815","248180004",77.5,3228958,"856","319507","13706912","3748821","992","370949","17827674","29253318",64.5,1161,271.964376590331,746.848287921983,12771,25,8,1,110,41400,2,425,2,1037931,83000,1120931,54.177172,0,271.964376590331,4108.08905852417
"73","大阪","新千歳","ANA",424,492264,"762:59:00",102185,128177,"302","118,636,785","148,813,497",79.7,1555494,"1,858","157,664","8,897,759","1,805,928","2,158","183,048","10,888,893","28,700,981",37.9,1161,302.304245283019,424.115926818535,12771,25,8,2,110,41400,1,415,2,1037931,83000,1120931,54.177172,0,302.304245283019,3668.6179245283
"74","関西","新千歳","JAL",1465,1917685,"2,659:57",236934,338939,"231","310,146,606","443,671,151",69.9,3588020,"1,421","239,004","23,260,995","4,696,718","1,861","312,855","28,272,429","54,223,232",52.1,1309,231.357679180887,1465.09670476743,14399,25,8,1,110,41300,4,455,2,1037931,83000,1120931,77.423601,0,231.357679180887,2449.16040955631
