"","空港i","空港j","航空会社","運航回数","運航キロメートル","運航時間","旅客数","座席数","X","人キロメートル","座席キロメートル","座席利用率","貨物","超過手荷物","郵便物","旅客","貨物.1","超過手荷物.1","郵便物.1","計","利用可能.トンキロメートル","重量利用率...","DIS","Seat","Freq","MC","V27","V28","V29"
"85","福岡","新千歳","ANA",372,600408,"806:15:00",104315,149517,"402","168,364,410","241,320,438",69.8,1780381,"2,122","85,978","12,627,331","2,873,535","3,425","138,771","15,643,062","51,590,249",30.3,1614,401.927419354839,371.829382301555,17754,37,8,2
"86","新千歳","福岡","ANA",371,598794,"905:29:00",102915,148936,"401","166,104,810","240,382,704",69.1,1991069,"1,895","202,102","12,457,861","3,213,585","3,059","326,193","16,000,698","51,516,812",31.1,1614,401.44474393531,371.000807503094,17754,8,37,2
"87","福岡","那覇","JAL",1833,1847664,"3,116:07",199883,352312,"192","201,482,064","355,130,496",56.7,6055652,"1,499","156,093","15,111,155","6,104,097","1,511","157,340","21,374,103","42,251,228",50.6,1008,192.205128205128,1834.12034919506,11088,37,46,1
"88","那覇","福岡","JAL",1828,1842624,"2,940:38",210209,351244,"192","211,890,672","354,053,952",59.8,2768300,"1,578","16,839","15,891,801","2,790,448","1,590","16,974","18,700,813","42,105,168",44.4,1008,192.146608315098,1829.43675130179,11088,46,37,1
"89","福岡","那覇","ANA",2907,2930256,"4,790:39",373204,608891,"209","376,189,632","613,762,128",61.3,9726717,"4,775","348,092","28,214,223","9,804,531","4,814","350,876","38,374,444","100,214,960",38.3,1008,209.456828345373,2906.64031101091,11088,37,46,2
"90","那覇","福岡","ANA",2909,2932272,"4,634:04",371051,604203,"208","374,019,408","609,036,624",61.4,6096325,"4,119","167,036","28,051,456","6,145,094","4,151","168,371","34,369,072","99,570,840",34.5,1008,207.701271914747,2909.55170377866,11088,46,37,2
"91","福岡","那覇","JTA",365,367920,"586:21:00",35297,53110,"146","35,579,376","53,534,880",66.5,406423,"0","1,758","2,668,453","409,674","0","1,773","3,079,900","5,673,148",54.3,1008,145.506849315069,364.781422583006,11088,37,46,9
"92","那覇","福岡","JTA",367,369936,"587:50:00",27577,53330,"145","27,797,616","53,756,640",51.7,349993,"0","336","2,084,821","352,794","0","339","2,437,954","5,704,233",42.7,1008,145.313351498638,367.071745175563,11088,46,37,9
"93","福岡","那覇","SKY",594,598752,"1,002:17",46870,105138,"177","47,244,960","105,979,104",44.6,0,"2,765","0","3,543,372","0","2,786","0","3,546,158","11,155,717",31.8,1008,177,593.727040105394,5544,37,46,4
"94","那覇","福岡","SKY",591,595728,"962:21:00",46854,104607,"177","47,228,832","105,443,856",44.8,0,"1,541","0","3,542,162","0","1,554","0","3,543,716","11,099,376",31.9,1008,177,590.874697336562,5544,46,37,4
"95","東京","函館","JAL",1087,854382,"1,476:02",239803,374231,"344","188,485,158","294,145,566",64.1,2983227,"1,800","304,918","14,136,387","2,344,817","1,413","239,666","16,722,283","35,728,494",46.8,786,344.278748850046,1086.64169820345,8646,18,3,1
"96","函館","東京","JAL",1086,853596,"1,537:38",223082,373272,"344","175,342,452","293,391,792",59.8,6012709,"1,672","113,441","13,150,683","4,725,989","1,315","89,165","17,967,152","35,062,046",51.2,786,343.71270718232,1085.34486781309,8646,3,18,1
"97","東京","函館","ANA",731,574566,"977:33:00",176356,251067,"343","138,615,816","197,338,662",70.2,2215890,"2,960","427,791","10,396,186","1,741,691","2,327","336,243","12,476,447","37,764,713",33,786,343.456908344733,731.443645813117,8646,18,3,2
"98","函館","東京","ANA",727,571422,"1,059:45",153967,250015,"344","121,018,062","196,511,790",61.6,2745855,"3,944","2,330","9,076,356","2,158,242","3,099","1,831","11,239,528","37,647,579",29.9,786,343.899587345254,726.800606249339,8646,3,18,2
"99","東京","函館","ADO",726,570636,"947:54:00",115342,164764,"227","90,658,812","129,504,504",70,380212,"3,369","0","6,799,413","298,847","2,647","0","7,100,907","18,266,202",38.9,786,226.947658402204,726.045321967004,7074,18,3,7
"100","函館","東京","ADO",722,567492,"1,034:35",131071,163940,"227","103,021,806","128,856,840",80,990934,"3,360","0","7,726,634","778,874","2,640","0","8,508,148","18,176,734",46.8,786,227.063711911357,721.554089910943,7074,3,18,7
"101","東京","南紀白浜","JAL",932,590888,"1,157:32",66373,146976,"158","42,080,482","93,182,784",45.2,4308,"498","0","3,156,036","2,732","315","0","3,159,083","9,546,011",33.1,634,157.699570815451,931.15611916171,6974,18,25,1
"102","南紀白浜","東京","JAL",928,588352,"1,013:01",67727,146024,"157","42,938,918","92,579,216",46.4,38551,"507","0","3,220,419","24,442","320","0","3,245,181","9,491,867",34.2,634,157.353448275862,927.61463868953,6974,25,18,1
"103","東京","神戸","JAL",727,505265,"905:20:00",120191,166922,"230","83,532,745","116,010,790",72,68371,"900","572","6,264,957","47,517","625","398","6,313,497","14,003,694",45.1,695,229.603851444292,727.043311313734,7645,18,25,1
"104","神戸","東京","JAL",726,504570,"844:01:00",111429,166757,"230","77,443,155","115,896,115",66.8,738085,"834","0","5,808,237","512,968","579","0","6,321,784","14,047,340",45,695,229.692837465565,726.230221543277,7645,25,18,1
"105","東京","神戸","ANA",816,567120,"978:32:00",114621,203727,"250","79,661,595","141,590,265",56.3,1083446,"1,025","0","5,974,621","752,994","714","0","6,728,329","24,823,513",27.1,695,249.665441176471,815.450056230563,7645,18,25,2
"106","神戸","東京","ANA",818,568510,"1,010:55",122651,204997,"251","85,242,445","142,472,915",59.8,423571,"1,315","169,039","6,393,185","294,380","915","117,480","6,805,960","25,024,001",27.2,695,250.607579462103,818.419008432182,7645,25,18,2
"107","東京","神戸","SKY",1895,1317025,"2,394:47",258947,335415,"177","179,968,165","233,113,425",77.2,0,"1,835","0","13,497,612","0","1,275","0","13,498,887","24,538,310",55,695,177,1895.04844705951,3822.5,18,25,4
"108","神戸","東京","SKY",1897,1318415,"2,292:47",276054,335769,"177","191,857,530","233,359,455",82.2,0,"2,650","0","14,389,315","0","1,842","0","14,391,157","24,564,206",58.6,695,177,1897.35659202441,3822.5,25,18,4
"109","東京","北九州","JAL",1455,1393890,"2,462:37",128677,238812,"164","123,272,566","228,781,896",53.9,173664,"965","211","9,245,443","166,370","926","202","9,412,941","25,306,720",37.2,958,164.131958762887,1454.51769654968,10538,18,37,1
"110","北九州","東京","JAL",1454,1392932,"2,145:02",123165,238662,"164","117,992,070","228,638,196",51.6,556935,"925","0","8,849,404","533,543","886","0","9,383,833","25,291,584",37.1,958,164.141678129298,1454.18191884874,10538,37,18,1
"111","東京","北九州","SFJ",3778,3619324,"6,292:22",382047,544032,"144","366,001,026","521,182,656",70.2,2675027,"7,673","0","27,450,078","2,562,677","7,351","0","30,020,106","55,980,083",53.6,958,144,3779.35066476733,8622,18,37,3
