"","i","j","207ゾーンi","207ゾーンj","47ゾーンi","47ゾーンj","207ゾーン名i","207ゾーン名j","所要時間","費用","航空便数","滞在可能時間","アクセシビリティ","鉄道ダミー","エアライン参入数","x","OD1","OD2","路線距離","一便あたり座席数","一便あたり貨物","一便あたり超過手荷物","prob1","prob2","share1","share2","out.share2"
"109",2,1,31,22,11,10,"盛岡","南部",NA,NA,NA,NA,53.741119,0,NA,0,133,136,0,0,0,0,0,0,0.001,0.001,0.0210588235294118
"110",2,1,31,22,11,10,"盛岡","南部",36,1660,1,1008,6.519236,1,0,133,133,136,96.6,0,0,0,1,0.977941176470588,0.999,0.977941176470588,0.0210588235294118
"111",2,2,31,31,11,11,"盛岡","盛岡",NA,NA,NA,NA,62.43454,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"112",2,2,31,31,11,11,"盛岡","盛岡",0,NA,1,1080,3.049386,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"113",2,3,31,32,11,11,"盛岡","北上中部",NA,NA,NA,NA,35.149662,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"114",2,3,31,32,11,11,"盛岡","北上中部",0,670,1,1080,6.73094,1,0,0,0,0,35.3,0,0,0,NA,NA,NA,NA,NA
"115",2,4,31,33,11,11,"盛岡","両磐",NA,NA,NA,NA,85.190952,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"116",2,4,31,33,11,11,"盛岡","両磐",38,1660,1,1004,2.909174,1,0,0,0,0,90.2,0,0,0,NA,NA,NA,NA,NA
"117",2,5,31,41,11,12,"盛岡","仙台",NA,NA,NA,NA,46.508251,0,NA,0,524,629,0,0,0,0,0,0,0.001,0.001,0.165931637519873
"118",2,5,31,41,11,12,"盛岡","仙台",74,3350,1,932,2.843153,1,0,524,524,629,183.5,0,0,0,1,0.833068362480127,0.999,0.833068362480127,0.165931637519873
"119",2,6,31,43,11,12,"盛岡","古川",NA,NA,NA,NA,97.294985,0,NA,0,1,121,0,0,0,0,0,0,0.001,0.001,0.990735537190083
