rk,i,j,207ゾーンi,207ゾーンj,47ゾーンi,47ゾーンj,207ゾーン名i,207ゾーン名j,最寄りi,最寄りj,,"x_ij,k",ODij,所要時間,費用,航空便数,滞在可能時間,アクセシビリティ,鉄道ダミー,エアライン参入数
161,2,27,31,155,11,20,盛岡,魚沼,盛岡,浦佐,盛岡駅浦佐駅,0,0,211,,,,1.524693,1,
162,2,27,31,155,11,20,盛岡,魚沼,花巻,新潟,花巻駅新潟駅,0,0,0,,,,31.21727,0,
163,2,28,31,201,11,18,盛岡,長野,盛岡,長野,盛岡駅長野駅,3,3,235,,,,1.524693,1,
164,2,28,31,201,11,18,盛岡,長野,花巻,羽田,花巻駅羽田駅,0,3,0,,,,31.21727,0,
165,2,29,31,203,11,24,盛岡,上田,盛岡,上田,盛岡駅上田駅,2,2,223,,,,1.524693,1,
166,2,29,31,203,11,24,盛岡,上田,花巻,名古屋,花巻駅名古屋駅,0,2,0,,,,31.21727,0,
167,2,30,31,211,11,24,盛岡,岐阜,盛岡,岐阜羽島,盛岡駅岐阜羽島駅,1,4,355,,,,1.524693,1,
168,2,30,31,211,11,24,盛岡,岐阜,花巻,名古屋,花巻駅名古屋駅,3,4,0,,,,31.21727,0,
169,2,31,31,221,11,18,盛岡,中部,盛岡,静岡,盛岡駅静岡駅,7,7,243,,,,1.524693,1,
170,2,31,31,221,11,18,盛岡,中部,花巻,羽田,花巻駅羽田駅,0,7,0,,,,31.21727,0,
171,2,32,31,222,11,24,盛岡,西部,盛岡,浜松,盛岡駅浜松駅,6,6,269,,,,1.524693,1,
172,2,32,31,222,11,24,盛岡,西部,花巻,名古屋,花巻駅名古屋駅,0,6,0,,,,31.21727,0,
173,2,33,31,223,11,18,盛岡,東部,盛岡,三島,盛岡駅三島駅,2,2,237,,,,1.524693,1,
174,2,33,31,223,11,18,盛岡,東部,花巻,羽田,花巻駅羽田駅,0,2,0,,,,31.21727,0,
175,2,34,31,231,11,24,盛岡,名古屋,盛岡,名古屋,盛岡駅名古屋駅,13,13,274,,,,1.524693,1,
176,2,34,31,231,11,24,盛岡,名古屋,花巻,名古屋,花巻駅名古屋駅,0,13,0,,,,31.21727,0,
177,2,35,31,232,11,24,盛岡,東三河,盛岡,豊橋,盛岡駅豊橋駅,0,0,312,,,,1.524693,1,
178,2,35,31,232,11,24,盛岡,東三河,花巻,名古屋,花巻駅名古屋駅,0,0,0,,,,31.21727,0,
179,2,36,31,233,11,24,盛岡,豊田,盛岡,三河安城,盛岡駅三河安城駅,5,6,331,,,,1.524693,1,
180,2,36,31,233,11,24,盛岡,豊田,花巻,名古屋,花巻駅名古屋駅,1,6,0,,,,31.21727,0,
181,2,37,31,252,11,25,盛岡,東北部,盛岡,米原,盛岡駅米原駅,0,0,374,,,,1.524693,1,
182,2,37,31,252,11,25,盛岡,東北部,花巻,関西国際,花巻駅関西国際駅,0,0,0,,,,31.21727,0,
183,2,38,31,261,11,25,盛岡,京都,盛岡,京都,盛岡駅京都駅,14,18,310,,,,1.524693,1,
184,2,38,31,261,11,25,盛岡,京都,花巻,関西国際,花巻駅関西国際駅,4,18,0,,,,31.21727,0,
185,2,39,31,271,11,25,盛岡,大阪,盛岡,新大阪,盛岡駅新大阪駅,7,16,325,,,,1.524693,1,
186,2,39,31,271,11,25,盛岡,大阪,花巻,関西国際,花巻駅関西国際駅,9,16,0,,,,31.21727,0,
187,2,40,31,281,11,25,盛岡,神戸,盛岡,新神戸,盛岡駅新神戸駅,2,4,338,,,,1.524693,1,
188,2,40,31,281,11,25,盛岡,神戸,花巻,関西国際,花巻駅関西国際駅,2,4,0,,,,31.21727,0,
189,2,41,31,283,11,25,盛岡,播磨,盛岡,姫路,盛岡駅姫路駅,0,0,355,,,,1.524693,1,
190,2,41,31,283,11,25,盛岡,播磨,花巻,関西国際,花巻駅関西国際駅,0,0,0,,,,31.21727,0,
191,2,42,31,331,11,30,盛岡,県南,盛岡,岡山,盛岡駅岡山駅,1,1,370,,,,1.524693,1,
192,2,42,31,331,11,30,盛岡,県南,花巻,岡山,花巻駅岡山駅,0,1,0,,,,31.21727,0,
193,2,43,31,341,11,31,盛岡,広島,盛岡,広島,盛岡駅広島駅,3,4,411,,,,1.524693,1,
194,2,43,31,341,11,31,盛岡,広島,花巻,広島,花巻駅広島駅,1,4,0,,,,31.21727,0,
195,2,44,31,342,11,31,盛岡,備後,盛岡,福山,盛岡駅福山駅,0,0,388,,,,1.524693,1,
196,2,44,31,342,11,31,盛岡,備後,花巻,広島,花巻駅広島駅,0,0,0,,,,31.21727,0,
197,2,45,31,351,11,32,盛岡,山口,盛岡,新山口,盛岡駅新山口駅,0,0,439,,,,1.524693,1,
198,2,45,31,351,11,32,盛岡,山口,花巻,山口宇部,花巻駅山口宇部駅,0,0,0,,,,31.21727,0,
199,2,46,31,352,11,32,盛岡,下関,盛岡,新下関,盛岡駅新下関駅,0,0,582,,,,1.524693,1,
200,2,46,31,352,11,32,盛岡,下関,花巻,山口宇部,花巻駅山口宇部駅,0,0,0,,,,31.21727,0,
201,2,47,31,353,11,32,盛岡,宇部,盛岡,厚狭,盛岡駅厚狭駅,0,0,571,,,,1.524693,1,
202,2,47,31,353,11,32,盛岡,宇部,花巻,山口宇部,花巻駅山口宇部駅,0,0,0,,,,31.21727,0,
203,2,48,31,354,11,32,盛岡,岩国,盛岡,新岩国,盛岡駅新岩国駅,0,0,521,,,,1.524693,1,
204,2,48,31,354,11,32,盛岡,岩国,花巻,山口宇部,花巻駅山口宇部駅,0,0,0,,,,31.21727,0,
205,2,49,31,355,11,32,盛岡,徳山,盛岡,徳山,盛岡駅徳山駅,0,0,436,,,,1.524693,1,
206,2,49,31,355,11,32,盛岡,徳山,花巻,山口宇部,花巻駅山口宇部駅,0,0,0,,,,31.21727,0,
